,N.º,Título,Duración,Álbum,Título_v2,Letra
0,1.,Sueños,3:47,Magia,Sueños,"10 ContributorsTranslationsPortuguêsSueños Lyrics[Letra de ""Sueños""]

[Verso 1]
Siempre soñé con las estrellas
Y en bicicleta ir a ellas
Siempre soñé con ser sirena
Hablar con algas y ballenas
Era mi vida, mi fantasía
No sólo un sueño y nada más
Lo que no sabía era que existías
O que eras mi única verdad

[Coro]
Porque yo no respiro si no estás
No me puedo acostumbrar
Cuento me hadas sin igual
Ya lo sé; no eres perfecto y es verdad
Pero aquí dentro siempre estás
Haces mis sueños realidad

[Verso 2]
Castillos, princesas, qué ironía
Al fin y al cabo fantasías
Mi príncipe azul, mi poesía
No estaba lejos de mi vida
Yo presentía que tú vendrías
Que te amaría hasta el final
Yo tenía un mundo de ilusiones
En el que te guardé un lugar
You might also like[Coro]
Porque yo no respiro si no estás
No me puedo acostumbrar
Cuento me hadas sin igual
Ya lo sé; no eres perfecto y es verdad
Pero aquí dentro siempre estás
Haces mis sueños realidad
Porque yo no respiro si no estás
No me puedo acostumbrar
Cuento me hadas sin igual
Ya lo sé; no eres perfecto y es verdad...1Embed"
1,2.,Esta noche voy contigo,3:53,Magia,Esta noche voy contigo,"9 ContributorsEsta Noche Voy Contigo Lyrics[Letra de ""Esta Noche Voy Contigo""]

[Intro]
Na na na naaaaa
Na na na naaaaa
Na na na na na na naaaaa

[Verso 1]
Hoy me siento entre nubes
Creo que voy a estallar
Y me enredo con las horas
Ya no sé si llegarás
Y al volver la vista te ace-cercas, ya
Mi cuerpo se estremece al verte caminar
Y al sentir la ardiente noche en mi piel
Mi corazón se agita, vuelvo a renacer

[Coro]
Esta noche voy contigo a bailar
El momento es nuestro y no termina
Esta noche voy contigo a soñar
Que la vida es ritmo, es alegría
Esta noche voy contigo a bailar
El estar contigo me hace libre
Esta noche voy contigo a soñar
Que el amor es nuestro y no termina
You might also like[Verso 2]
De regreso voy contenta
Tengo ganas de gritar
Si tú quieres debo verte
No más me dices y ya
Y con el sol se irá la oscuridad
La energía en nuestro cuerpo nunca parará
Este es el ritmo, él que me hace vibrar
Y aunque quisiera detenerme, no puedo parar

[Coro]
Esta noche voy contigo a bailar
El momento es nuestro y no termina
Esta noche voy contigo a soñar
Que la vida es ritmo, es alegría
Esta noche voy contigo a bailar
El estar contigo me hace libre
Esta noche voy contigo a soñar
Que el amor es nuestro y no termina

Esta noche voy contigo a bailar
El momento es nuestro y no termina
Esta noche voy contigo a soñar
Que la vida es ritmo, es alegría

Esta noche voy contigo a bailar
El estar contigo me hace libre
Esta noche voy contigo a soñar
Que la vida es ritmo, es alegría
Esta noche voy contigo a bailar
El momento es nuestro y no termina
Esta noche voy contigo a soñar
Que la vida es ritmo, es alegría

Esta noche voy contigo a bailar

Esta noche voy contigo a soñarEmbed"
2,3.,Lejos de tu amor,3:09,Magia,Lejos de tu amor,"9 ContributorsLejos De Tu Amor Lyrics[Letra de ""Lejos De Tu Amor""]

[Verso 1]
Imaginar, yo tan sólo puedo imaginar
Que ya dejé de verme niña
Que llamarás, y me invitarás hoy a cenar
Luego a bailar bajo la luna
Pero mil de estos sueños lo hacen realidad
Un abismo marca el tiempo; sé que estoy muy lejos

Imaginar, yo tan sólo puedo imaginar
Que tú me has hecho tu princesa
Y una vez más, sentiré cómo me hago un mar
Cubriéndote con blanca arena
Pero tanto que te pienso no te hará mirar
Hoy me veo tan perdida por estar tan lejos

[Coro]
Lejos de tu amor
Lejos de tu corazón
Lejos de tu amor
Sin salida, ¡mira!
Lejos de tu amor
Lejos de tu corazón
Lejos de tu amor
Sin salida, ¡vuelve!
You might also likeImaginar, yo tan sólo puedo imaginar
Que ya dejé de verme niña
Que llamarás, y me invitarás hoy a cenar
Luego a bailar bajo la luna
Pero tanto que te pienso no te hará mirar
Hoy me veo tan perdida por estar tan lejos

[Coro]
Lejos de tu amor
Lejos de tu corazón
Lejos de tu amor
Sin salida, ¡mira!
Lejos de tu amor
Lejos de tu corazón
Lejos de tu amor
Sin salida, ¡vuelve!

[Rap]
The beat of your heart is always there
If you don't beat your fears, you won't find its way
I never say when, I never say how
But the time is right and it comes somehow

[Coro]
Lejos de tu amor
Lejos de tu corazón
Lejos de tu amor
Sin salida, ¡mira!
Lejos de tu amor
Lejos de tu corazón
Lejos de tu amor
Sin salida, ¡vuelve!
(Lejos de tu amor, oh oh)
Oh yeah
(Lejos de tu amor y sin salida)

Oh no
(Lejos de tu amor)Embed"
3,4.,Magia,4:43,Magia,Magia,"7 ContributorsMagia Lyrics[Letra de ""Magia""]

[Verso 1]
Magia siento magia
Desde hace poco algo nuevo nace en mi
Magia siento magia
Cuando me hablas tiemblo toda es asi
Ando siempre despistada
No escucho lo que me hablan
Solo pienso en que estas cerca de mi

[Verso 2]
Magia tu mirada
Como la luna me estremece hasta el fin
Magia siento magia
Si estoy contigo en el desierto soy feliz
Dicen que hasta veo fantasmas o que estoy emproblemada
Y la razon es que te quiero hasta morir

[Coro]
Y es asi que ya no puedo ni dormir
Me paso el dia pensando en ti
Vivo embrujada es por ti
Y es asi que solo vivo para ti no se estudiar
Ni se salir no se que magia has hecho en mi
You might also like[Verso 3]
Magia siento magia
Como la luna me estremece hasta el fin
Magia siento magia
Si estoy contigo en el desierto soy feliz

[Coro]
Y es asi que ya no puedo ni dormir
Me paso el dia pensando en ti
Vivo embrujada y es por ti
Y es asi que solo vivo para ti no se estudiar
Ni se salir no se que magia has hecho en mi
Y es asiEmbed"
4,5.,Cuentas conmigo,4:01,Magia,Cuentas conmigo,"7 ContributorsCuentas Conmigo Lyrics[Letra de ""Cuentas Conmigo""]

[Verso 1]
Aunque tus dias sean largos
Y te cubra un cielo gris y triste
Cuentas conmigo
Aunque tus noches sean invierno
Y en tu desvelo te espere un mal dia
Cuentas conmigo
Cuando en tu rostro reflejes nostalgia
Y una sonrisa mal dibujada
Cuentas conmigo
Y en tus ojos las lagrimas corran
Y tus manos se tornen frias
Piensa que estoy yo contigo y cuentas conmigo

[Coro]
Cuentas conmigo amor
Porque tu eres mi vida entera
Cuentas conmigo amor
Porque no tenemos barreras
Cuentas conmigo amor
Porque en las noches tu eres mi estrella
Cuentas conmigo amor, cuentas conmigo

[Verso 2]
Aunque tus dias sean largos
Y te cubra un cielo gris y triste
Cuentas conmigo
Y en tus ojos las lagrimas corran
Y tus manos se tornen frias
Piensa que estoy yo contigo y cuentas conmigo
Cuentas conmigo amor
Porque tu eres mi vida entera
You might also like[Coro]
Cuentas conmigo amor
Porque no tenemos barreras
Cuentas conmigo amor
Porque en las noches tu eres mi estrella
Cuentas conmigo amor

[Puente]
Cuando todo en ti sea alegria y felicidad
Cuentas conmigo
Tendre la certeza de saber
Que cuento contigo

[Coro]
Cuentas conmigo amor
Porque tu eres mi vida entera
Cuentas conmigo amor
Porque no tenemos barreras
Cuentas conmigo amor
Porque en las noches tu eres mi estrella
Cuentas conmigo amor y cuento contigoEmbed"
5,6.,Cazador de amor,3:07,Magia,Cazador de amor,"7 ContributorsCazador De Amor Lyrics[Letras de ""Cazador De Amor""]

[Verso 1]
35 grados de temperatura
Hace un calor insoportable y no me puedo olvidar
Tomo el telefono y llamo a la operadora
Comunicame con el chico que yo amo
Comunicame con el chico que yo amo

[Verso 2]
35 grados de temperatura
Siento que todo me da vueltas, se que voy a estallar
Desesperada --a la operadora
Vuelva llamelo y digale que lo amo
Vuelva llamelo y digale que lo amo

[Coro]
Mi corazon expresa el amor
Buen cazador
Eres tu y contigo
Yo me siento
Mi corazon expresa el amor
Buen cazador
Eres tu y contigo
Yo me siento acabada de nacer
You might also like[Puente]
Aunque solo sea una visita tuya
Aunque sea una llamada cortada
Aunque sean tus palabras trozadas
Quiero oir tu voz
Quiero oir tu voz
Quiero oir tu voz
Quiero oir tu voz

[Coro]
Mi corazon expresa el amor
Buen cazador
Eres tu y contigo
Yo me siento
Mi corazon expresa el amor
Buen cazador
Eres tu y contigo
Yo me siento acabada de nacerEmbed"
6,7.,Gafas oscuras,3:13,Magia,Gafas oscuras,"8 ContributorsGafas Oscuras Lyrics[Letra de ""Gafas Oscuras""]

[Verso]
Tus gafas oscuras me hacen vibrar cada vez que te ocultan
Tus gafas oscuras me hacen sentir que yo soy una duda
Y cuando me miras se encoje mi cuerpo y me hago chiquita
Y cuando me miras me atrapa tu mundo y me siento distinta

[Pre-Coro]
Tus gafas oscuras me matan de a poco y no sé lo que pasa
Tus gafas oscuras intrigantes, misteriosas a cualquiera impacta
Y cuando me miras me quitas la vista y me robas el alma
Detienes el tiempo, detienes mi mente y se acaba la calma
Y sólo las culpables son esas gafas oscuras

[Coro]
Llévame, ocúltame en tus gafas oscuras
Que el sol no me queme, que me mires ardiente
Llévame, ocúltame en tus gafas oscuras
Ayúdame a hacer ilusión en mi mente

[Instrumental]

[Pre-Coro]
Tus gafas oscuras me matan de poco y no sé lo que pasa
Tus gafas oscuras intrigantes, misteriosas a cualquiera impacta
Y cuando me miras me quitas la vista y me robas el alma
Detienes el tiempo, detienes mi mente y se acaba la calma
Y sólo las culpables son esas gafas oscuras
You might also like[Coro]
Llévame, ocúltame en tus gafas oscuras
Que el sol no me queme, que me mires ardiente
Llévame, ocúltame en tus gafas oscuras
Ayúdame a hacer ilusión en mi mente

Llévame, ocúltame en tus gafas oscuras
Que el sol no me queme, que me mires ardiente
Llévame, ocúltame en tus gafas oscuras
Ayúdame a hacer ilusión en mi menteEmbed"
7,8.,Necesito de ti,3:41,Magia,Necesito de ti,"8 ContributorsNecesito De Ti Lyrics[Letras de ""Nescesito De Ti""]

[Verso 1]
Pulso acelerado, tu cabeza va a estallar
Y tu corazon esta sangrando
Estas delirando, hasta te falta respirar
Estas cansado de estar solo con tu soledad
Rompes la herida en tu pobre alma
Es que se te nota a simple vista

[Coro]
Necesitas alguien que te sale la pasion
Te cubra la ilusion, te abra el corazon
Tu necesitas de mi, de mi
Yo necesito de ti, de ti
Tu necesitas amor, de mi amor o ven aqui
Tu necesitas de mi, de mi
Yo necesito de ti, de ti
Tu necesitas amor de mi amor o ven aqui

[Verso 2]
Como perdida en el desierto estoy
Extrañandote hasta morir
Siento que me falta el aire si no estas aqui
Nada me hace feliz
No lo voy a resistir
Nada lo consigo si no estas tu junto a mi
Mi television y mis amigos
Ya de fiesta a fiesta cada vez me aburro mas
Ya no se como estudiar, no me puedo concentrar
You might also like[Coro]
Tu necesitas de mi, de mi
Yo necesito de ti, de ti
Tu necesitas amor, de mi amor o ven aqui
Tu necesitas de mi, de mi
Yo necesito de ti de ti
Tu necesitas amor de mi amor o ven aqui
Tu necesitas de mi, de mi
Yo necesito de ti, de ti
Tu necesitas amor de mi amor o ven aqui
Tu necesitas de mi, de mi
Yo necesito de ti de ti
Tu necesitas amor de mi amor o ven aquiEmbed"
8,9.,Lejos de tu amor (Versión Mix),3:13,Magia,Lejos de tu amor,"9 ContributorsLejos De Tu Amor Lyrics[Letra de ""Lejos De Tu Amor""]

[Verso 1]
Imaginar, yo tan sólo puedo imaginar
Que ya dejé de verme niña
Que llamarás, y me invitarás hoy a cenar
Luego a bailar bajo la luna
Pero mil de estos sueños lo hacen realidad
Un abismo marca el tiempo; sé que estoy muy lejos

Imaginar, yo tan sólo puedo imaginar
Que tú me has hecho tu princesa
Y una vez más, sentiré cómo me hago un mar
Cubriéndote con blanca arena
Pero tanto que te pienso no te hará mirar
Hoy me veo tan perdida por estar tan lejos

[Coro]
Lejos de tu amor
Lejos de tu corazón
Lejos de tu amor
Sin salida, ¡mira!
Lejos de tu amor
Lejos de tu corazón
Lejos de tu amor
Sin salida, ¡vuelve!
You might also likeImaginar, yo tan sólo puedo imaginar
Que ya dejé de verme niña
Que llamarás, y me invitarás hoy a cenar
Luego a bailar bajo la luna
Pero tanto que te pienso no te hará mirar
Hoy me veo tan perdida por estar tan lejos

[Coro]
Lejos de tu amor
Lejos de tu corazón
Lejos de tu amor
Sin salida, ¡mira!
Lejos de tu amor
Lejos de tu corazón
Lejos de tu amor
Sin salida, ¡vuelve!

[Rap]
The beat of your heart is always there
If you don't beat your fears, you won't find its way
I never say when, I never say how
But the time is right and it comes somehow

[Coro]
Lejos de tu amor
Lejos de tu corazón
Lejos de tu amor
Sin salida, ¡mira!
Lejos de tu amor
Lejos de tu corazón
Lejos de tu amor
Sin salida, ¡vuelve!
(Lejos de tu amor, oh oh)
Oh yeah
(Lejos de tu amor y sin salida)

Oh no
(Lejos de tu amor)Embed"
9,1.,Eres,5:02,Peligro,Eres,"6 ContributorsEres Lyrics[Letra de ""Eres""]

[Verso 1]
Eres sensacional
Un loco de ideas raras, muy original
Eres sentimental
También transparente, pero tan diferente
A todo el que conozco
Igual yo reconozco

[Pre-Coro]
Cuando estoy sin ti
No me siento viva
No me siento plena
Solo tu me llenas
Que eres mi prisión
Y dulce condena
Oh-oh-oh

[Coro]
Que es lo que te hace
Ser tan especial
Paralizas mi alma
Solo con hablar
Que tienen tus ojos
Que hacen derretirme
Y me encantas tu
Tu estilo de amar
Que es lo que te hace ser
Tan soñador
Dices lo que piensas
Sin ningún temor
Eres prisa y calma
Eres fuego y explosión
Luz y oscuridad
Frío y calor
You might also like[Verso 2]
Tu agresividad
Y mi alma salvaje
Que busca intimidarme
Poeta empedernido
Bohemio confundido

[Pre-Coro]
Ha sido para mi
Mi espacio y mi tiempo
Mi mejor invento
Porque tu me enseñaste
La dulce emoción
De enamorarme

[Coro]
Que es lo que te hace
Ser tan especial
Paralizas mi alma
Solo con hablar
Que tienen tus ojos
Que hacen derretirme
Y me encantas tu
Tu estilo de amar
Que es lo que te hace ser
Tan soñador
Dices lo que piensas
Sin ningún temor
Eres prisa y calma
Eres fuego y explosión
Luz y oscuridad
Frío y calor
[Outro]
Que es lo que te hace
Ser tan especial
Paralizas mi alma
Solo con hablar
Que tienen tus ojos
Que hacen derretirme
Y me encantas tu
Tu estilo de amar
Que es lo que te hace ser
Tan soñador
Dices lo que piensas
Sin ningún temor
Eres prisa y calma
Eres fuego y explosión
Luz y oscuridad
Frío y calorEmbed"
